area,ID,numid,wdepth,bpi,rie,new_cmecs,dshore,shore_code
1.33,G74,"74",-70.6498772397968,17.1459379380614,2.40980272781537,Muddy Sand,24.5748298708453,EI-Gravel
1.29,G75,"75",-34.3386055937887,51.6973416211079,8.75845959306624,Muddy Sand,407.860980656633,EI-Mix_Fine
1.83,G76,"76",-92.5721144280096,17.3443205062357,12.0158238190757,Sandy Mud,556.423676500947,EI-Mix_Fine
2,G77,"77",-133.844407652558,-20.5793457046118,16.6800365572775,Mud,1202.92988738084,EI-Mix_Fine
1.98,G78,"78",-83.9297838648737,-6.92901726352874,7.34053361238788,Muddy Sand,608.277278505205,EI-Mix_Fine
2.69,G79,"79",-26.9810523644721,2.28294292070302,4.55263971402564,Muddy Sand,762.864739206173,EI-Mix_Fine
1.56,G80,"80",0,0.147107221067637,0,Unconsolidated Mineral Substrate,75.3825446420687,EI-Mix_Fine
0.54,G81,"81",-39.51050847603,-2.89583930673997,2.19829991939109,Cobble,1809.36613936469,OCN
1.15,G82,"82",-48.8048758137328,2.30388440984243,4.62990300856033,Coarse Unconsolidated Substrate,4558.9900500495,OCN
1.93,G83,"83",-69.0471786164049,0.754534657360569,5.52896914762121,Cobble,3495.04502588139,OCN
2.02,G84,"84",-54.0665496839778,-1.20600696832945,5.09167666775176,Sand,2879.54063196751,OCN
1.58,G85,"85",-62.5315920662714,2.40355822152297,3.04487357787278,Sandy Mud,3527.80758960836,OCN
0.58,G86,"86",-1.14281130931628,17.6122847768081,7.33928413809079,Sand,14.1730306914897,EI-Mix_Fine
2,G87,"87",-97.6865841158191,-13.7241411445309,13.0394065122156,Mud,1293.26058263542,OCN
1.5,G88,"88",-25.4482388926467,40.8166450781454,27.6105670391691,Muddy Sand,469.8424393019,EI-Mix_Fine
2.1,G89,"89",-81.1849966312712,0.249711870187899,12.9684555569612,Sandy Mud,778.518782640436,EI-Mix_Fine
1.78,G90,"90",-44.3746956220906,5.78682255265417,5.29266163189356,Muddy Sand,395.415961455498,EI-Sand
0.71,G91,"91",0,3.47754707226122,2.55356411050349,Unconsolidated Mineral Substrate,83.1181485455437,EI-Mix_Fine
2.15,G92,"92",-18.183645793991,2.36227302192221,1.465991739351,Sand,586.498736024909,MI
1.8,G93,"93",-51.7651306718709,-3.01510168135753,4.23295318970515,Cobble,3094.30883070377,OCN
2.45,G94,"94",-64.4700516015185,-0.778663452954565,7.47749417231993,Cobble,3729.00426028954,OCN
2,G95,"95",-49.3257531799121,1.57510770364587,7.53973818010219,Unconsolidated Mineral Substrate,2270.24891410663,OCN
2,G96,"96",-53.27043145364,-6.27785697114839,6.7988238574966,Unconsolidated Mineral Substrate,2470.04142605803,OCN
2,G97,"97",-68.5416503314584,-1.13848878604498,1.11596701254393,Mud,3303.87456894236,OCN
0.84,G98,"98",-54.1204218300887,-1.60968020494988,0.374246442080028,Mud,4127.69318138923,OCN
0.63,G99,"99",-3.79937867503259,26.693817993482,12.2018509319702,Sand,66.1790435842142,EI-Sand
2.1,G100,"100",-5.41789428377979,13.3970695915953,12.1864886544252,Muddy Sand,332.972233224202,EI-Mix_Fine
1.82,G101,"101",-77.6664787054279,9.88995107716125,4.47255012959155,Muddy Sand,446.276389674185,EI-Gravel
0.82,G102,"102",-7.92784837562257,53.6716642179787,16.1988137270939,Muddy Sand,199.504563431178,EI-Mix_Fine
1.25,G103,"103",-20.2110910059453,32.5051811130275,9.17370304615242,Muddy Sand,401.775159158379,EI-Sand
2.98,G104,"104",-11.8299212560545,2.20450087119058,0.492653089685258,Mud,625.310108035373,EI-Mix_Fine
2,G105,"105",-33.1737437757785,-0.494615123915603,3.72296205067049,Gravel,1648.84116138397,OCN
2,G106,"106",-54.8809460217213,-0.125849662807105,5.75774989053131,Cobble,4221.23260476354,OCN
2,G107,"107",-73.1552662158268,-5.5630641139551,5.91325868125879,Cobble,2182.23512779015,OCN
2,G108,"108",-19.7619951591663,2.5702728262286,2.49213908464994,Sand,1360.48508307519,OCN
2,G109,"109",-59.9503507318318,-6.12101841030386,8.07163445487018,Sandy Mud,2197.2021873686,OCN
2.37,G110,"110",-53.860881974101,-0.885216922106743,0.338826119130213,Mud,3261.53225384545,OCN
1.31,G111,"111",-55.6853742235677,-1.83786882528953,0.174742401270649,Mud,4337.93198730249,OCN
1.18,G112,"112",-1.76584202914862,12.1553760781572,9.05609103969348,Sand,280.082587303178,EI-Mix_Fine
1.66,G113,"113",-59.9218375071621,-1.29120276821637,3.59698058089595,Mud,931.251514450114,EI-Sand
2,G114,"114",-58.5426712994061,-0.697450334581186,17.5826893682801,Muddy Sand,1248.66012436605,EI-Mix_Fine
1.04,G115,"115",-31.0761321194255,39.9602316065014,2.33379413641076,Sand,173.857301347504,EI-Gravel
1.53,G116,"116",-43.0197753524066,16.3016058223039,4.61171599934834,Sand,394.556836286993,EI-Gravel
1.99,G117,"117",-18.528338244622,1.19146551887321,0.842272249766177,Mud,616.666482103732,EI-Gravel
2.02,G118,"118",-14.2676171660324,0.658014129807735,0.614738920391817,Sand,691.041775372565,EI-Artificial
1.81,G119,"119",-13.0794670624967,2.86333572677461,2.80025137589643,Gravel,339.202420080194,MI
2,G120,"120",-49.2009605346679,0.988823222967465,6.27686976497557,Gravel,2897.96362303215,OCN
2,G121,"121",-64.0789463761907,2.10936040170159,4.65453937772715,Cobble,2702.24666041322,OCN
