ID,numid,weighted_current
G1433,"1433",0.363644236414419
G1434,"1434",0.220908989937225
G1435,"1435",0.314309464865334
G1436,"1436",0.299842814052168
G1437,"1437",0.272658533577034
G1438,"1438",0.246632667202783
G1439,"1439",0.231977415718654
G144,"144",0.425483214327488
G1440,"1440",0.210420777265363
G1441,"1441",0.213577412340329
G1442,"1442",0.234918312490426
G1443,"1443",0.257270726935775
G1444,"1444",0.285397653808143
G1445,"1445",0.32325347019005
G1446,"1446",0.356568475475912
G1447,"1447",0.35383847637558
G1448,"1448",0.350369760483543
G1449,"1449",0.359351618283619
G145,"145",0.468068056298921
G1450,"1450",0.364270613876061
G1451,"1451",0.228787255288883
G1452,"1452",0.312223013358195
G1453,"1453",0.28977693272456
G1454,"1454",0.26005533433393
G1455,"1455",0.236995463102275
G1456,"1456",0.215544091443922
G1457,"1457",0.203652970179098
G1458,"1458",0.219251529875778
G1459,"1459",0.242190109266395
G146,"146",0.527563758855213
G1460,"1460",0.270706478272666
G1461,"1461",0.307000249739092
G1462,"1462",0.34427886010591
G1463,"1463",0.359196260782671
G1464,"1464",0.359125013058304
G1465,"1465",0.363896404537241
G1466,"1466",0.369112166713307
G1467,"1467",0.23507808070707
G1468,"1468",0.303689652912247
G1469,"1469",0.276813940119457
G147,"147",0.387690198275076
G1470,"1470",0.248714111091524
G1471,"1471",0.223725253987552
G1472,"1472",0.202122189557365
G1473,"1473",0.205410055349752
G1474,"1474",0.228534926281173
G1475,"1475",0.257266011676597
G1476,"1476",0.290397754851362
G1477,"1477",0.328545514295732
G1478,"1478",0.354293442433792
G1479,"1479",0.361966603797841
G148,"148",0.35735345206916
G1480,"1480",0.36574230696279
G1481,"1481",0.371939802194966
G1482,"1482",0.236074743663016
G1483,"1483",0.210461125387167
G1484,"1484",0.200094308251665
G1485,"1485",0.214127816252835
G1486,"1486",0.274875182672366
G1487,"1487",0.312072725672418
G1488,"1488",0.344566318329136
G1489,"1489",0.222699814560071
G149,"149",0.403588934147129
G1490,"1490",0.203999055559403
G1491,"1491",0.205170782806951
G1492,"1492",0.225962649407819
G1493,"1493",0.257743529860066
G1494,"1494",0.296190347479638
G1495,"1495",0.3306254825528
G1496,"1496",0.211033037732869
G1497,"1497",0.203924160317
G1498,"1498",0.215481829023735
G1499,"1499",0.244826679640181
G15,"15",0.415092260441689
G150,"150",0.361150555051665
G1500,"1500",0.280679721522363
G1501,"1501",0.317432520520137
G1502,"1502",0.209373720437882
G1503,"1503",0.208787528437906
G1504,"1504",0.230820538237888
G1505,"1505",0.265593060623564
G1506,"1506",0.303219422795376
G1507,"1507",0.210261519676865
G1508,"1508",0.219955057114484
G1509,"1509",0.251175052609243
G151,"151",0.339516603270255
G1510,"1510",0.289658206421816
G1511,"1511",0.313788231221711
G1512,"1512",0.215571982112357
G1513,"1513",0.214134962910328
G1514,"1514",0.23782122195544
G1515,"1515",0.275043276839902
G1516,"1516",0.302524694879398
G1517,"1517",0.218029392905757
G1518,"1518",0.226486078771783
G1519,"1519",0.261256520397647
G152,"152",0.345433600973089
G1520,"1520",0.297221031877354
G1521,"1521",0.219493197813951
G1522,"1522",0.249003374025134
G1523,"1523",0.28954269193538
G1524,"1524",0.225376645615955
G1525,"1525",0.239018794456261
G1526,"1526",0.275891721846529
G1527,"1527",0.234892065683105
G1528,"1528",0.265674706121132
G1529,"1529",0.299224597846348
G153,"153",0.356005453695047
G1530,"1530",0.2534986739998
G1531,"1531",0.294604377409167
G1532,"1532",0.367102107537331
G1533,"1533",0.504899442931536
G1534,"1534",0.620335750358514
G1535,"1535",0.566877020600085
G1536,"1536",0.54553615404073
G1537,"1537",0.402228179042506
G1538,"1538",0.514174903019979
G1539,"1539",0.441559937271208
G154,"154",0.736897245624463
G1540,"1540",0.406556269896029
G1541,"1541",0.44156070704608
G1542,"1542",0.347183707115429
G1543,"1543",0.436790203048377
G1544,"1544",0.667217328558498
G1545,"1545",0.252007914165575
G155,"155",0.782809233589196
G156,"156",0.820342919834949
G157,"157",0.855423057809162
G158,"158",0.834395619887524
G159,"159",0.786428863539708
G16,"16",0.422445606199847
G160,"160",0.693110856979183
G161,"161",0.60674741538313
G162,"162",0.475744049867508
G163,"163",0.437428409007951
G164,"164",0.435305637865742
G165,"165",0.464208652570089
G166,"166",0.50905486793661
G167,"167",0.585715358320428
G168,"168",0.692487497586074
G169,"169",0.656442385020381
G17,"17",0.417086326348882
G170,"170",0.394979039690086
G171,"171",0.366704448424628
G172,"172",0.333398579695224
G173,"173",0.329767835222866
G174,"174",0.350411554319213
G175,"175",0.401048884163058
G176,"176",0.411390207958158
G177,"177",0.350021754683269
G178,"178",0.341691586156082
G179,"179",0.350616855222928
G18,"18",0.412877838389049
G180,"180",0.35983128186867
G181,"181",0.365599399397453
G182,"182",0.366917325672763
G183,"183",0.729308559805019
G184,"184",0.777475177883633
G185,"185",0.823857307109714
G186,"186",0.854251501267987
G187,"187",0.864112874559306
G188,"188",0.844590765421661
G189,"189",0.760579376477111
G19,"19",0.411792205224788
